~/dev/nakamura/testscripts/SlingRuby/kerns ~/dev/nakamura
kern-1003.rb 2 tests, 18 assertions, 1 failures, 0 errors
kern-763.rb 1 tests, 6 assertions, 0 failures, 0 errors
kern-797.rb 1 tests, 22 assertions, 0 failures, 0 errors
kern-854.rb 1 tests, 7 assertions, 0 failures, 0 errors
kern-857.rb 1 tests, 8 assertions, 0 failures, 0 errors
kern-891.rb 1 tests, 10 assertions, 0 failures, 0 errors
kern-892.rb 1 tests, 1 assertions, 0 failures, 0 errors
kern-909.rb 1 tests, 12 assertions, 0 failures, 0 errors
kern-911.rb 1 tests, 4 assertions, 0 failures, 0 errors
kern-926.rb 2 tests, 27 assertions, 0 failures, 0 errors
kern-929.rb 1 tests, 7 assertions, 0 failures, 0 errors
kern-933.rb 1 tests, 4 assertions, 0 failures, 0 errors
kern-935.rb 1 tests, 6 assertions, 0 failures, 0 errors
kern-939.rb 5 tests, 32 assertions, 0 failures, 0 errors
kern-949.rb 2 tests, 0 assertions, 0 failures, 0 errors
kern-959.rb 1 tests, 0 assertions, 0 failures, 0 errors
kern-989.rb 1 tests, 15 assertions, 0 failures, 0 errors
~/dev/nakamura
~/dev/nakamura/testscripts/SlingRuby/tests ~/dev/nakamura
authz-test.rb 4 tests, 208 assertions, 0 failures, 0 errors
basiclti-test.rb 3 tests, 37 assertions, 0 failures, 3 errors
contact-test.rb 1 tests, 25 assertions, 0 failures, 0 errors
form-auth-test.rb 1 tests, 8 assertions, 0 failures, 0 errors
message-test.rb 1 tests, 45 assertions, 0 failures, 0 errors
node-create-test.rb 5 tests, 36 assertions, 0 failures, 0 errors
owner-authz-test.rb 1 tests, 0 assertions, 0 failures, 0 errors
owner-principal-test.rb 1 tests, 0 assertions, 0 failures, 0 errors
page-create-test.rb 4 tests, 23 assertions, 0 failures, 0 errors
page-structure-test.rb 1 tests, 12 assertions, 0 failures, 0 errors
private-store-test.rb 1 tests, 8 assertions, 0 failures, 0 errors
rss-test.rb 3 tests, 3 assertions, 0 failures, 0 errors
sling-search-test.rb 2 tests, 14 assertions, 0 failures, 0 errors
user-manager-test.rb 6 tests, 33 assertions, 1 failures, 0 errors
var-cluster-test.rb 3 tests, 30 assertions, 0 failures, 0 errors
~/dev/nakamura
~/dev/nakamura/testscripts/target/classes/SlingRuby/kerns ~/dev/nakamura
~/dev/nakamura
~/dev/nakamura/testscripts/target/classes/SlingRuby/tests ~/dev/nakamura
~/dev/nakamura
